CID;Meno/Priezvisko;Priezvisko;Tituly;sex;Datum narodenia;PSC;mesto;kraj;Danovy domicil;Stĺpec2;dom2
2003899;Taly;Poggendiek;;female;1970-03-18;39517;Schelldorf;Sachsen-Anhalt;AT;2;AT
2004856;Jaym;Fidrich;;male;1934-03-18;66869;Ruthweiler;Rheinland-Pfalz;DE;1;DE
2008174;Andrick;Szafarczyk;;male;1925-03-18;56170;Bendorf;Rheinland-Pfalz;DE;1;DE
2004774;Mana;Henzchen;;male;1990-05-18;49770;Dohren;Niedersachsen;AT;2;AT
2004964;Eskinder;Hinze;;male;1969-05-18;49586;Merzen;Niedersachsen;AT;2;AT
2001284;Lazar;Schlossner;;male;1963-05-18;1909;GroĂźharthau;Sachsen;DE;1;DE
2008274;Rateng;ThĂĽrschmid;;male;1963-05-18;34289;Zierenberg;Hessen;DE;1;DE
2008535;Elain;HannĂź;;female;1954-05-18;31592;Stolzenau Stolzenau;Niedersachsen;AT;2;AT
2007485;Tadea;Borcherdt;;male;1934-05-18;99439;Leutenthal;ThĂĽringen;SK;0;SK
2005310;Munjoh;Winklmair;;female;1921-05-18;57644;Hattert;Rheinland-Pfalz;SK;0;SK
2003363;Yamac;Bajorek;;male;2004-05-18;10827;Berlin;Berlin;DE;1;DE
2008706;Zara;Ostertak;;female;1986-05-18;39624;Packebusch;Sachsen-Anhalt;SK;0;SK
2010017;Yarin;Hammermann;;female;1982-05-18;86163;Augsburg;Bayern;AT;2;AT
2002612;Eliandro;Branding;;male;1977-05-18;6132;Halle;Sachsen-Anhalt;DE;1;DE
2002414;Mikolai;Stahlhut;;male;1967-05-18;25761;Westerdeichstrich;Schleswig-Holstein;SK;0;SK
2005646;Amel;Darcan;;female;2000-05-18;4129;Leipzig;Sachsen;DE;1;DE
2002790;Yosuf;Vasilenko;;male;1995-05-18;28325;Bremen;Bremen;SK;0;SK
2005659;Saivan;Polyakova;;male;1988-05-18;22529;Hamburg Hoheluft-West;Hamburg;SK;0;SK
2009638;Rino;Juengermann;;male;1981-05-18;19243;Luckwitz;Mecklenburg-Vorpommern;AT;2;AT
2006182;Karen;Konieczni;;female;1969-05-18;29664;Walsrode;Niedersachsen;DE;1;DE
2001410;Saran;Ulus;;female;1952-05-18;17268;Petznick;Brandenburg;AT;2;AT
2003539;Damjon;WĂ¶hrner;;male;1949-05-18;73529;SchwĂ¤bisch GmĂĽnd;Baden-WĂĽrttemberg;DE;1;DE
2006936;Chantal;Waldheuer;;female;1949-05-18;24594;Remmels;Schleswig-Holstein;SK;0;SK
2006937;Tobbe;Gierhold;;male;1949-05-18;74391;Erligheim;Baden-WĂĽrttemberg;AT;2;AT
2006565;Zakia;GrĂ¶nloh;;female;1934-05-18;25348;GlĂĽckstadt;Schleswig-Holstein;AT;2;AT
2000227;John-Paul;Schroer;;male;2002-06-18;36217;Ronshausen;Hessen;DE;1;DE
2008489;Freeman;WĂ¤lker;;male;1980-06-18;88281;Schlier;Baden-WĂĽrttemberg;SK;0;SK
2001866;Baptiste;SchellhoĂź;;male;1964-06-18;56587;Oberhonnefeld-Gierend;Rheinland-Pfalz;AT;2;AT
2008188;Parvati;Matteus;;female;1938-06-18;24392;Kiesby;Schleswig-Holstein;AT;2;AT
2004860;Uygar;Janicka;;male;1930-06-18;29416;ChĂĽden;Sachsen-Anhalt;DE;1;DE
2006402;Arwin;GlĂ¤Ăźner;;male;1924-06-18;15890;Siehdichum Schernsdorf;Brandenburg;SK;0;SK
2002267;Xiu;Pergler;;female;1997-06-18;25436;Neuendeich;Schleswig-Holstein;SK;0;SK
2009577;Danielova;Foit;;female;1938-06-18;67697;Otterberg;Rheinland-Pfalz;AT;2;AT
2004024;Thao;Cieslar;;female;2005-05-17;56323;Waldesch;Rheinland-Pfalz;AT;2;AT
2004404;Isa;Wilhelmi;;male;1973-05-17;15306;FichtenhĂ¶he Niederjesar;Brandenburg;AT;2;AT
2007892;Sokol;Nieboer;;male;1964-05-17;66909;Matzenbach;Rheinland-Pfalz;DE;1;DE
2009472;Seyedeh;SchmĂ¤decke;;female;2002-01-17;31711;Luhden Luhden;Niedersachsen;AT;2;AT
2008179;Albulena;Koessler;;female;1997-01-17;25485;Hemdingen;Schleswig-Holstein;SK;0;SK
2003649;Ridhaan;Hense;;male;1990-01-17;66484;Althornbach;Rheinland-Pfalz;SK;0;SK
2003429;Viyan;Symantzyk;;female;1975-01-17;16775;Kappe;Brandenburg;DE;1;DE
2004058;Nebai;Meussel;;male;1973-01-17;33519;Bielefeld;Nordrhein-Westfalen;DE;1;DE
2008186;Taraneh;Merkeli;;female;1966-01-17;58566;Kierspe;Nordrhein-Westfalen;DE;1;DE
2007087;Juneau;Hindermayr;;female;1921-01-17;72250;Freudenstadt;Baden-WĂĽrttemberg;SK;0;SK
2002146;Gadir;Nowakowsky;;female;2002-01-17;23829;KĂĽkels;Schleswig-Holstein;DE;1;DE
2003560;Hind;Koslowska;;female;1999-01-17;92366;Hohenfels;Bayern;AT;2;AT
2001322;Eos;Overmeyer;;female;1992-01-17;12559;Berlin;Berlin;SK;0;SK
2006292;Lluna;Schwagerl;;female;1986-01-17;25767;Bunsoh;Schleswig-Holstein;AT;2;AT
2006018;Rikard;SchĂ¶nmaier;;male;1958-01-17;37154;Northeim;Niedersachsen;AT;2;AT
2004977;Jesaija;Beierl;;male;1932-01-17;65582;Diez;Rheinland-Pfalz;DE;1;DE
2005380;Ioanna;Melchor;;female;1928-01-17;39291;Stresow;Sachsen-Anhalt;DE;1;DE
2001450;Lillemor;Eichhorn;;female;2008-01-17;86738;Deiningen;Bayern;SK;0;SK
2007582;Paul-Matteo;Kolarzyk;;male;1986-01-17;54533;Gipperath;Rheinland-Pfalz;SK;0;SK
2004309;Mariyam;Schumacher;;female;1955-01-17;41460;Neuss;Nordrhein-Westfalen;DE;1;DE
2005044;Maryam-Medina;Winz;;female;1941-01-17;97852;Schollbrunn;Bayern;AT;2;AT
2006934;Raquel;Wigand;;female;1925-01-17;7639;WeiĂźenborn;ThĂĽringen;SK;0;SK
2001706;JurĂ­;Koepfle;;male;1924-01-17;25370;Seester;Schleswig-Holstein;SK;0;SK
2006540;Asante;Szymanzyk;;male;2003-02-17;96110;ScheĂźlitz;Bayern;AT;2;AT
2006752;Elias-Eliano;Sedlack;;male;1981-02-17;92655;GrafenwĂ¶hr;Bayern;SK;0;SK
2005124;Naoise;Moos;;male;1980-02-17;54552;HĂ¶rschhausen;Rheinland-Pfalz;DE;1;DE
2000444;Ognyanov;RĂĽbesahm;;male;1958-02-17;84030;Ergolding;Bayern;SK;0;SK
2009326;Pius;Langelotz;;male;1952-02-17;8223;Werda;Sachsen;DE;1;DE
2001019;Louisa-Milane;Kranawetvogl;;female;1945-02-17;24217;Bendfeld;Schleswig-Holstein;AT;2;AT
2007710;KĂ¤te;HenrichmĂ¶ller;;female;1936-02-17;70499;Stuttgart Hausen;Baden-WĂĽrttemberg;SK;0;SK
2000617;Mallak;Johannesmann;;female;1927-02-17;81675;MĂĽnchen;Bayern;DE;1;DE
2003697;Phoebe;Rimschneider;;female;1924-02-17;92361;Berngau;Bayern;AT;2;AT
2005307;Mia;GĂ¶tzkes;;male;1923-02-17;53579;Erpel;Rheinland-Pfalz;DE;1;DE
2003063;Paul-Luis;AndĂ¶rfer;;male;1994-02-17;25869;GrĂ¶de;Schleswig-Holstein;DE;1;DE
2003483;Tanisha;Usskureit;;female;1994-02-17;92274;Gebenbach;Bayern;AT;2;AT
2002372;Shivank;Aytan;;male;1962-02-17;39240;LĂ¶dderitz;Sachsen-Anhalt;DE;1;DE
2005350;Allen;HĂĽlscher;;male;1962-02-17;46459;Rees;Nordrhein-Westfalen;AT;2;AT
2001723;Zhang;Schaffarz;;male;1998-02-17;65824;Schwalbach am Taunus;Hessen;SK;0;SK
2005989;Ilina;Griensteidl;;female;1984-02-17;39615;Gollensdorf;Sachsen-Anhalt;SK;0;SK
2009084;Masango;Algeyer;;male;1983-02-17;56244;Weidenhahn;Rheinland-Pfalz;AT;2;AT
2006576;Salime;Bartholmey;;female;1978-02-17;6712;Bornitz;Sachsen-Anhalt;SK;0;SK
2000919;Anel;StĂ¶gmĂĽller;;male;1947-02-17;56357;Lipporn;Rheinland-Pfalz;DE;1;DE
2008209;Ilianova;Sowatzki;;female;1925-02-17;69439;Zwingenberg;Baden-WĂĽrttemberg;AT;2;AT
2006249;Iniobong;Kurschat;;female;1991-02-17;8499;Mylau;Sachsen;DE;1;DE
2006061;Criffel;Carli;;male;1973-02-17;24329;Grebin;Schleswig-Holstein;AT;2;AT
2007074;Mouloud;MĂ¶bius;;male;1973-02-17;16792;Zehdenick;Brandenburg;AT;2;AT
2006087;Mesuoma;Kauffmann;;female;1972-02-17;91637;WĂ¶rnitz;Bayern;DE;1;DE
2001147;Rojava;Burchards;;female;1971-02-17;23795;Traventhal;Schleswig-Holstein;DE;1;DE
2002625;Giulien;von Christen;;male;1963-02-17;97737;GemĂĽnden am Main;Bayern;SK;0;SK
2000992;Livia;SchĂ¶neberg;;female;1951-02-17;74420;Oberrot;Baden-WĂĽrttemberg;SK;0;SK
2009827;OleksandrĂ¬vna;Kayali;;female;1948-02-17;37412;HĂ¶rden;Niedersachsen;DE;1;DE
2007221;Jangmi;Krebs;;female;1934-02-17;79110;Freiburg im Breisgau;Baden-WĂĽrttemberg;AT;2;AT
2009181;Imeni;Togan;;female;1928-02-17;25852;Bordelum;Schleswig-Holstein;DE;1;DE
2007746;Kron;Erdelen;;male;1970-03-17;40589;DĂĽsseldorf;Nordrhein-Westfalen;AT;2;AT
2000711;Jarosch;FrĂĽnd;;male;1957-03-17;56288;Braunshorn;Rheinland-Pfalz;SK;0;SK
2009271;Lio;Leferenz;;male;1942-03-17;95185;Gattendorf;Bayern;DE;1;DE
2001413;Imre;Horstkemper;;male;1927-03-17;74177;Bad Friedrichshall;Baden-WĂĽrttemberg;AT;2;AT
2008299;Denahi;Malcomess;;male;1925-03-17;93482;Pemfling;Bayern;DE;1;DE
2008496;Vladislav;Cloes;;male;1999-03-17;7338;Leutenberg;ThĂĽringen;SK;0;SK
2007651;OleksĂ¬jovna;SĂ¤ttler;;female;1986-03-17;89542;Herbrechtingen;Baden-WĂĽrttemberg;SK;0;SK
2003584;Galena;Nickolaus;;female;1981-03-17;70565;Stuttgart;Baden-WĂĽrttemberg;SK;0;SK
2007989;Leif;KaraĂĽzĂĽm;;male;1979-03-17;80802;MĂĽnchen;Bayern;SK;0;SK
2003546;Elina;StrĂ¶hlein;;female;1978-03-17;35633;Lahnau;Hessen;DE;1;DE
2003518;Fatih;Jaworski;;male;1950-03-17;15528;GrĂĽnheide (Mark);Brandenburg;AT;2;AT
2009789;Detlef;PĂ¤zolt;;male;1948-03-17;21423;Drage;Niedersachsen;DE;1;DE
2008293;Njuguna;Hennig;;male;1934-03-17;14913;Herbersdorf;Brandenburg;DE;1;DE
2001587;Fabius;Kampschnieder;;male;2009-03-17;71573;Allmersbach im Tal;Baden-WĂĽrttemberg;SK;0;SK
2004278;Tizian;Isenbarth;;male;1944-03-17;89542;Herbrechtingen;Baden-WĂĽrttemberg;SK;0;SK
2002248;Saneyo;Zygann;;male;1981-05-17;38889;Wienrode;Sachsen-Anhalt;DE;1;DE
2003229;Jurek;Zinsmann;;male;1976-05-17;98530;Oberstadt;ThĂĽringen;SK;0;SK
2007374;Ria-Martha;Dreessen;;female;1962-05-17;54426;Merschbach;Rheinland-Pfalz;SK;0;SK
2006470;Victoria-Sophie;Kleisner;;female;1946-05-17;6528;Blankenheim;Sachsen-Anhalt;AT;2;AT
2001852;Phin;SĂ¶ndgerath;;male;1988-05-17;22149;Hamburg Tonndorf;Hamburg;DE;1;DE
2005079;Garikai;Schiestel;;male;1982-05-17;39291;LĂĽbars;Sachsen-Anhalt;SK;0;SK
2008459;BÄng;Maahsmann;;male;1961-05-17;85774;UnterfĂ¶hring;Bayern;SK;0;SK
2002149;Raziel;Tenbusch;;male;1931-05-17;17506;LĂĽssow;Mecklenburg-Vorpommern;AT;2;AT
2006012;Namnpreet;Stoltzmann;;male;2004-05-17;66128;SaarbrĂĽcken;Saarland;AT;2;AT
2007642;Nilay;Wisotzka;;male;1987-05-17;18233;Kirch Mulsow;Mecklenburg-Vorpommern;AT;2;AT
2008151;Naum;Aust;;male;1980-05-17;86579;Waidhofen;Bayern;DE;1;DE
2001258;FlĂłra;von Scharfenort;;female;1978-05-17;92363;Breitenbrunn;Bayern;AT;2;AT
2004025;Vilde;Liwerenz;;female;2004-06-17;6198;Wettin;Sachsen-Anhalt;AT;2;AT
2009068;Hamdan;Horejschi;;male;1976-06-17;71332;Waiblingen;Baden-WĂĽrttemberg;DE;1;DE
2007986;Cole;Prochaska;;male;1958-06-17;45896;Gelsenkirchen;Nordrhein-Westfalen;SK;0;SK
2000772;Yuma;Niemczik;;male;1957-06-17;54292;Trier;Rheinland-Pfalz;AT;2;AT
2002749;Lumara;Agsten;;female;1945-06-17;24395;Stangheck;Schleswig-Holstein;DE;1;DE
2005365;Hillevie;Rothschuh;;female;1932-06-17;75428;Illingen;Baden-WĂĽrttemberg;SK;0;SK
2006925;Aarao;Pirmann;;male;1920-06-17;70180;Stuttgart Stuttgart-Mitte;Baden-WĂĽrttemberg;DE;1;DE
2006974;Floria;Alberts;;female;1986-06-17;70563;Stuttgart Vaihingen;Baden-WĂĽrttemberg;DE;1;DE
2010106;Jovo-BeĹˇo;Koene;;male;1975-06-17;39646;Oebisfelde;Sachsen-Anhalt;AT;2;AT
2006723;Kaami;Blazej;;male;1960-06-17;63579;Freigericht;Hessen;AT;2;AT
2008606;Giulia;Altknecht;;female;1990-05-16;98744;OberweiĂźbach;ThĂĽringen;SK;0;SK
2001817;Willow;Kolodzijeski;;female;1986-05-16;31634;Steimbke Steimbke;Niedersachsen;DE;1;DE
2005655;Takoia;Seydel;;female;1980-05-16;6333;BrĂ¤unrode;Sachsen-Anhalt;AT;2;AT
2009579;Roux;Uguz;;female;1971-05-16;24989;Dollerup;Schleswig-Holstein;DE;1;DE
2005356;Blanka;Schymitschek;;female;1943-05-16;14641;GroĂź Behnitz;Brandenburg;AT;2;AT
2003395;Sedra;Sohnius;;female;1937-05-16;83677;Reichersbeuern;Bayern;DE;1;DE
2009803;Kala;Goez;;female;1930-05-16;49497;Mettingen;Nordrhein-Westfalen;DE;1;DE
2001690;Marie-Nicole;Sator;;female;1922-05-16;83684;Tegernsee;Bayern;AT;2;AT
2008350;Princessa;Collinet;;female;2005-01-16;53123;Bonn;Nordrhein-Westfalen;DE;1;DE
2007211;Ana-Sophia;Siegerth;;female;1980-01-16;90482;NĂĽrnberg;Bayern;DE;1;DE
2004056;Lyen;Hieronymi;;male;1966-01-16;54340;Riol;Rheinland-Pfalz;AT;2;AT
2002506;Atman;Hebrok;;male;1950-01-16;12055;Berlin;Berlin;DE;1;DE
2006338;Tiana;Meyncke;;female;1948-01-16;6809;Petersroda;Sachsen-Anhalt;SK;0;SK
2000764;Arne;Sitt;;male;1929-01-16;42275;Wuppertal;Nordrhein-Westfalen;DE;1;DE
2003274;Louie;OberhĂ¤nsli;;female;1960-01-16;88279;Amtzell;Baden-WĂĽrttemberg;DE;1;DE
2009871;Nawal;Mukkenfuss;;female;1946-01-16;4509;Zschortau;Sachsen;AT;2;AT
2005207;Lilani;Kowalewitsch;;female;1939-01-16;17099;Datzetal;Mecklenburg-Vorpommern;SK;0;SK
2009581;Malini;Clasmeyer;;female;1933-01-16;19067;Rubow;Mecklenburg-Vorpommern;AT;2;AT
2004085;Fanni;Frueauff;;female;1931-01-16;8393;Meerane;Sachsen;DE;1;DE
2000371;Jia-Yan;Oehlerich;;male;1972-01-16;66127;SaarbrĂĽcken;Saarland;DE;1;DE
2009840;Putra;Kurbgeweit;;male;1955-01-16;49356;Diepholz;Niedersachsen;AT;2;AT
2001083;Ayrton;Knoller;;male;1952-01-16;37345;Neustadt;ThĂĽringen;SK;0;SK
2002074;Stellan;Krumschmid;;male;1949-01-16;71543;WĂĽstenrot;Baden-WĂĽrttemberg;SK;0;SK
2004906;Stamov;Katzmarski;;male;1938-01-16;88145;Opfenbach;Bayern;AT;2;AT
2005825;Duha;Scharschmidt;;female;1937-01-16;21407;Deutsch Evern;Niedersachsen;DE;1;DE
2006939;AndrĂˇs;Fitzen;;male;1975-02-16;24392;Brebel;Schleswig-Holstein;AT;2;AT
2001502;Davey;Freercks;;male;1974-02-16;67823;Obermoschel;Rheinland-Pfalz;SK;0;SK
2000189;ÄÄng;Wedekindt;;male;1955-02-16;23847;Meddewade;Schleswig-Holstein;SK;0;SK
2000587;Finn-Leon;Pfeffer;;male;1953-02-16;36103;Flieden;Hessen;DE;1;DE
2004699;Delnaz;Musil;;female;1943-02-16;54472;Longkamp;Rheinland-Pfalz;SK;0;SK
2002242;Khalil-Abderrahmane;Moenck;;male;1936-02-16;34121;Kassel;Hessen;AT;2;AT
2009796;Mladenova;Thiessel;;male;1920-02-16;52477;Alsdorf;Nordrhein-Westfalen;DE;1;DE
2002358;Jenny-Vivien;ThomĂ©;;female;2000-02-16;54518;Arenrath;Rheinland-Pfalz;DE;1;DE
2001339;Thunyarut;Tinnemeier;;female;1970-02-16;89040;Ulm;Baden-WĂĽrttemberg;SK;0;SK
2003062;Walid;Linder;;female;1968-02-16;3205;Lipten;Brandenburg;AT;2;AT
2007108;ZerĹźin;Akkaya;;female;1966-02-16;6917;Jessen (Elster) Leipa;Sachsen-Anhalt;SK;0;SK
2000365;Dariev;Ernstmeyer;;male;1952-02-16;89185;HĂĽttisheim;Baden-WĂĽrttemberg;SK;0;SK
2006868;Alani;KlĂ¶Ăź;;female;1935-02-16;67744;Homberg;Rheinland-Pfalz;SK;0;SK
2002388;Macky;Yozgat;;male;1976-02-16;41466;Neuss;Nordrhein-Westfalen;AT;2;AT
2009530;Darlynn;Mohnsahm;;female;2009-02-16;25997;HĂ¶rnum;Schleswig-Holstein;AT;2;AT
2002207;Hellen;Budack;;female;1984-02-16;37217;Witzenhausen;Hessen;SK;0;SK
2009185;Julian-Paul;HĂ¶rtling;;male;1953-02-16;79685;HĂ¤g-Ehrsberg;Baden-WĂĽrttemberg;DE;1;DE
2004178;Raha;Fritzsch;;female;1989-03-16;37699;FĂĽrstenberg;Niedersachsen;DE;1;DE
2002890;Avelino;Habersaat;;male;1986-03-16;16845;Sieversdorf-Hohenofen;Brandenburg;AT;2;AT
2008461;Tiah;Widekind;;female;1954-03-16;26624;SĂĽdbrookmerland Forlitz-Blaukirchen;Niedersachsen;DE;1;DE
2008603;Rayyan;Tkatchenko;;male;1933-03-16;90587;Tuchenbach;Bayern;DE;1;DE
2004119;Casandra;Zurlinden;;female;2006-03-16;66907;Rehweiler;Rheinland-Pfalz;AT;2;AT
2005888;Altair;Clawsing;;male;2005-03-16;74424;BĂĽhlertann;Baden-WĂĽrttemberg;AT;2;AT
2002659;Zayne;Schniderjan;;male;2003-03-16;86477;Adelsried;Bayern;SK;0;SK
2006651;Andrasch;Neumann;;male;1990-03-16;63930;Neunkirchen;Bayern;DE;1;DE
2000896;Lieske;Schmedding;;female;1985-03-16;6110;Halle;Sachsen-Anhalt;AT;2;AT
2007946;GĂĽldane;Wizoreck;;female;1959-03-16;72291;Betzweiler-WĂ¤lde;Baden-WĂĽrttemberg;DE;1;DE
2009600;Mahizer;Thebuss;;female;1950-03-16;19200;Zierzow;Mecklenburg-Vorpommern;SK;0;SK
2000627;Mia-Emilia;Andruleit;;female;1940-03-16;84564;Oberbergkirchen;Bayern;DE;1;DE
2005669;Denisovna;Brunetti;;female;1939-03-16;15848;Friedland Klein Muckrow;Brandenburg;AT;2;AT
2007886;Yaron;Hinzman;;male;2002-03-16;17375;Grambin;Mecklenburg-Vorpommern;AT;2;AT
2009235;Suhejla;Bausewein;;female;1988-03-16;4129;Leipzig;Sachsen;AT;2;AT
2007792;Runa;Willinck;;female;1955-03-16;26345;Bockhorn Ellenserdammersiel;Niedersachsen;AT;2;AT
2005001;MikhayiloviÄŤ;Saegebrecht;;male;1941-03-16;6528;GroĂźleinungen;Sachsen-Anhalt;DE;1;DE
2007631;Lorelei;Kaufels;;female;1938-03-16;9618;GroĂźhartmannsdorf;Sachsen;DE;1;DE
2009013;Lotta-Lilou;Fogt;;female;1937-03-16;9212;Limbach-Oberfrohna;Sachsen;DE;1;DE
2006836;TuÄźce;Niclaus;;female;1920-03-16;19217;BĂĽlow;Mecklenburg-Vorpommern;SK;0;SK
2008417;Lupa;Rybar;;female;1947-05-16;54316;Franzenheim;Rheinland-Pfalz;SK;0;SK
2004598;Tajana;Buhk;;female;1937-05-16;28199;Bremen;Bremen;AT;2;AT
2002544;Saad;StraĂźheim;;male;1984-05-16;97255;Gelchsheim;Bayern;DE;1;DE
2006397;Henner;SchĂ¶nekĂ¤s;;male;1963-05-16;4860;PflĂĽckuff;Sachsen;SK;0;SK
2006739;Heluandes;Oechslin;;male;1960-05-16;22457;Hamburg Niendorf;Hamburg;SK;0;SK
2006910;Marela;Henzelin;;female;1959-05-16;54552;StrotzbĂĽsch;Rheinland-Pfalz;SK;0;SK
2003206;Kristoff;Tkotsch;;male;1956-05-16;24861;Bergenhusen;Schleswig-Holstein;SK;0;SK
2005402;Mihrimah;Strassmann;;female;1928-05-16;73105;DĂĽrnau;Baden-WĂĽrttemberg;AT;2;AT
2008166;Harvir;Lieble;;male;2003-05-16;31737;Rinteln Todenmann;Niedersachsen;SK;0;SK
2008891;Ehi;Bientzle;;male;1986-05-16;98617;Henneberg;ThĂĽringen;SK;0;SK
2002553;Mallory;Gehrlicher;;female;1978-05-16;25368;Kiebitzreihe;Schleswig-Holstein;AT;2;AT
2003181;Nefeli;Witzleb;;female;1971-05-16;49681;Garrel;Niedersachsen;DE;1;DE
2005084;Darek;Scherfchen;;male;1970-05-16;25767;OffenbĂĽttel;Schleswig-Holstein;AT;2;AT
2002988;Friedalotte;Rassmuss;;female;1964-05-16;79215;Elzach;Baden-WĂĽrttemberg;DE;1;DE
2007321;Detlef;Heidenrich;;male;1957-05-16;4874;Belgern;Sachsen;DE;1;DE
2001585;Olouwafoumi;Karacelik;;female;1946-05-16;17309;SchĂ¶nwalde;Mecklenburg-Vorpommern;DE;1;DE
2006597;Justas;Esposito;;male;1944-05-16;99096;Erfurt;ThĂĽringen;AT;2;AT
2008048;Basille;MattmĂĽller;;female;1931-05-16;84184;Tiefenbach;Bayern;AT;2;AT
2001234;Korneel;GĂĽngĂ¶rmĂĽs;;male;1925-05-16;57586;Weitefeld;Rheinland-Pfalz;SK;0;SK
2001778;Lienard;Roedel;;male;2005-06-16;19205;RĂ¶gnitz;Mecklenburg-Vorpommern;AT;2;AT
2008881;Roderich;Lytvynov;;male;1971-06-16;2747;Berthelsdorf;Sachsen;AT;2;AT
2005009;Nanuk;Koopmann;;male;1962-06-16;53179;Bonn;Nordrhein-Westfalen;AT;2;AT
2008695;Quetsche;Wrublewsky;;female;1930-06-16;86447;Aindling;Bayern;AT;2;AT
2004394;Eleni;Kaltschmid;;female;1926-06-16;31134;Hildesheim;Niedersachsen;DE;1;DE
2000483;Jordi;Safak;;male;2008-06-16;6347;FriedeburgerhĂĽtte;Sachsen-Anhalt;SK;0;SK
2005675;Ishini;Pfefferlein;;female;2004-06-16;2681;Kirschau;Sachsen;SK;0;SK
2002494;Marie;Biernath;;male;1999-06-16;97234;Reichenberg;Bayern;SK;0;SK
2003097;Bartlomiej;Beers;;male;1956-06-16;55232;Alzey;Rheinland-Pfalz;DE;1;DE
2010068;Soraja;Kirchenmajer;;female;1940-06-16;29359;Habighorst;Niedersachsen;SK;0;SK
2003548;Bonta;Strakerjahn;;female;1927-06-16;97234;Reichenberg;Bayern;AT;2;AT
2002099;Tumusiime;Karstaedt;;female;1955-05-15;16348;Ruhlsdorf;Brandenburg;DE;1;DE
2004169;Phill;Wernli;;male;1951-05-15;8371;Glauchau;Sachsen;DE;1;DE
2005509;Zori;Peheim;;female;1922-05-15;39599;KĂ¤then;Sachsen-Anhalt;SK;0;SK
2001920;Enea;Rupprecht;;male;1999-01-15;35444;Biebertal;Hessen;DE;1;DE
2009740;EnĂ©;Mewes;;female;1951-01-15;26506;Norden Westermarsch I;Niedersachsen;AT;2;AT
2007231;Sofie-Marie;KrĂ¤tschmann;;female;1942-01-15;80802;MĂĽnchen;Bayern;SK;0;SK
2005982;Vasilisa;RĂ¶hr;;female;1938-01-15;66879;Steinwenden;Rheinland-Pfalz;AT;2;AT
2004721;Batul;Raimond;;female;1998-01-15;84166;Adlkofen;Bayern;AT;2;AT
2007933;TĂş;KĂ¶ktas;;male;1996-01-15;15831;GroĂźziethen;Brandenburg;AT;2;AT
2009433;Ener;Uschkureit;;male;1970-01-15;31629;Estorf Estorf;Niedersachsen;AT;2;AT
2007201;Arliss;Scheuert;;male;1984-01-15;58135;Hagen;Nordrhein-Westfalen;AT;2;AT
2002644;Sejo;Voitle;;male;1953-01-15;10997;Berlin Kreuzberg;Berlin;AT;2;AT
2007532;Tiernan;Mathisen;;male;1950-01-15;92551;Stulln;Bayern;AT;2;AT
2000449;Ĺ arlote;Mates;;female;1939-01-15;48369;Saerbeck;Nordrhein-Westfalen;DE;1;DE
2002908;Njuguna;CĂ¶mez;;male;1938-01-15;6917;KlĂ¶den;Sachsen-Anhalt;SK;0;SK
2005800;Ashley;Teubl;;female;2002-02-15;54290;Trier;Rheinland-Pfalz;DE;1;DE
2009037;Sahr;Szimkat;;male;2002-02-15;3058;Roggosen;Brandenburg;AT;2;AT
2001718;Hiam;Kupperschmidt;;female;1978-02-15;8359;Breitenbrunn/Erzgebirge;Sachsen;AT;2;AT
2001218;Yo;Zawadzky;;female;1975-02-15;22589;Hamburg Osdorf;Hamburg;DE;1;DE
2007888;Awes;Schmittbauer;;male;1964-02-15;7778;Zimmern;ThĂĽringen;SK;0;SK
2004620;Jill;SchĂ¶nyan;;female;1962-02-15;75337;EnzklĂ¶sterle;Baden-WĂĽrttemberg;AT;2;AT
2001039;Wynter;Einfinger;;female;1920-02-15;63829;Krombach;Bayern;DE;1;DE
2007185;Ege;Stadlhuber;;male;2004-02-15;88481;Balzheim;Baden-WĂĽrttemberg;DE;1;DE
2002926;Eias;Amend;;male;2003-02-15;92665;Altenstadt an der Waldnaab;Bayern;SK;0;SK
2009931;Tiffany;Jungmann;;female;1990-02-15;24799;Friedrichsholm;Schleswig-Holstein;DE;1;DE
2004067;Esme;Joist;;female;1983-02-15;25813;Husum;Schleswig-Holstein;SK;0;SK
2002723;Kirsten;Evren;;female;1945-02-15;74372;Sersheim;Baden-WĂĽrttemberg;AT;2;AT
2001808;Erfan;Feltkamp;;male;1935-02-15;31553;Auhagen;Niedersachsen;DE;1;DE
2000423;Pavle;Clawsing;;male;1921-02-15;65326;Aarbergen;Hessen;SK;0;SK
2003975;Habibullah;DĂ¶rpmund;;male;1958-02-15;73660;Urbach;Baden-WĂĽrttemberg;SK;0;SK
2000500;Nafula;KĂ¤rst;;female;2008-02-15;85598;Baldham;Bayern;DE;1;DE
2009953;Wei;Neubart;;male;2002-02-15;16798;FĂĽrstenberg/Havel;Brandenburg;SK;0;SK
2008971;Meliha;Michalska;;female;1989-02-15;6268;Querfurt;Sachsen-Anhalt;DE;1;DE
2004905;PhĂş;Sedlatzek;;male;1984-02-15;15528;GrĂĽnheide (Mark) MĂ¶nchwinkel;Brandenburg;SK;0;SK
2007506;Ntale;Dickmayer;;female;1965-02-15;54439;Saarburg;Rheinland-Pfalz;DE;1;DE
2000962;Josephin;Novizki;;female;1954-02-15;94130;Obernzell;Bayern;DE;1;DE
2008472;Milad;TheyĂźen;;male;1933-02-15;94560;Offenberg;Bayern;DE;1;DE
